# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Dec  5 04:05:10 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1625.95,2.19,1634.95,1.42
1983,8,1983.625,1628.06,2.72,1635.50,1.36
1983,9,1983.708,1638.42,2.16,1636.10,1.29
1983,10,1983.792,1644.80,1.40,1636.77,1.21
1983,11,1983.875,1642.61,0.71,1637.50,1.12
1983,12,1983.958,1639.55,0.92,1638.30,1.03
1984,1,1984.042,1638.77,2.10,1639.19,0.93
1984,2,1984.125,1638.86,2.42,1640.11,0.85
1984,3,1984.208,1640.88,1.65,1641.09,0.78
1984,4,1984.292,1643.97,1.79,1642.14,0.71
1984,5,1984.375,1643.14,1.04,1643.22,0.65
1984,6,1984.458,1639.73,0.79,1644.34,0.61
1984,7,1984.542,1637.99,1.00,1645.47,0.58
1984,8,1984.625,1641.69,1.45,1646.62,0.57
1984,9,1984.708,1650.60,1.07,1647.76,0.56
1984,10,1984.792,1654.59,1.47,1648.88,0.56
1984,11,1984.875,1653.81,0.95,1649.99,0.56
1984,12,1984.958,1656.22,1.10,1651.08,0.57
1985,1,1985.042,1655.60,1.18,1652.16,0.57
1985,2,1985.125,1652.24,1.42,1653.17,0.57
1985,3,1985.208,1654.61,1.07,1654.17,0.57
1985,4,1985.292,1658.19,0.76,1655.18,0.56
1985,5,1985.375,1655.88,1.15,1656.19,0.56
1985,6,1985.458,1650.05,1.31,1657.19,0.56
1985,7,1985.542,1646.81,1.31,1658.18,0.56
1985,8,1985.625,1652.25,1.32,1659.20,0.57
1985,9,1985.708,1662.48,1.23,1660.21,0.58
1985,10,1985.792,1667.50,1.07,1661.22,0.59
1985,11,1985.875,1666.82,1.19,1662.25,0.61
1985,12,1985.958,1666.05,0.92,1663.28,0.62
1986,1,1986.042,1666.27,1.03,1664.34,0.65
1986,2,1986.125,1666.92,1.77,1665.36,0.67
1986,3,1986.208,1669.27,1.43,1666.38,0.69
1986,4,1986.292,1670.80,1.49,1667.45,0.71
1986,5,1986.375,1668.45,0.89,1668.52,0.73
1986,6,1986.458,1664.77,1.15,1669.60,0.75
1986,7,1986.542,1662.33,1.25,1670.68,0.77
1986,8,1986.625,1664.38,1.68,1671.78,0.78
1986,9,1986.708,1672.57,1.51,1672.87,0.78
1986,10,1986.792,1678.67,1.43,1673.96,0.78
1986,11,1986.875,1678.99,1.64,1675.05,0.77
1986,12,1986.958,1679.11,1.17,1676.14,0.75
1987,1,1987.042,1679.38,1.14,1677.24,0.73
1987,2,1987.125,1679.03,1.12,1678.28,0.70
1987,3,1987.208,1680.02,1.02,1679.30,0.67
1987,4,1987.292,1681.34,0.97,1680.34,0.63
1987,5,1987.375,1681.85,1.04,1681.36,0.59
1987,6,1987.458,1679.99,1.14,1682.35,0.55
1987,7,1987.542,1675.96,0.87,1683.32,0.51
1987,8,1987.625,1677.16,0.92,1684.26,0.47
1987,9,1987.708,1685.59,1.02,1685.17,0.45
1987,10,1987.792,1691.57,0.94,1686.04,0.43
1987,11,1987.875,1691.18,0.87,1686.90,0.42
1987,12,1987.958,1690.48,0.94,1687.73,0.42
1988,1,1988.042,1692.03,0.88,1688.57,0.44
1988,2,1988.125,1692.63,1.05,1689.37,0.46
1988,3,1988.208,1691.32,1.05,1690.17,0.48
1988,4,1988.292,1690.06,1.00,1690.99,0.51
1988,5,1988.375,1689.10,0.99,1691.83,0.54
1988,6,1988.458,1687.19,1.16,1692.69,0.56
1988,7,1988.542,1686.01,0.90,1693.57,0.57
1988,8,1988.625,1689.45,1.10,1694.50,0.58
1988,9,1988.708,1696.18,1.04,1695.43,0.59
1988,10,1988.792,1701.21,1.15,1696.39,0.59
1988,11,1988.875,1702.89,1.25,1697.36,0.58
1988,12,1988.958,1701.92,1.10,1698.36,0.58
1989,1,1989.042,1700.53,0.94,1699.38,0.57
1989,2,1989.125,1701.08,1.34,1700.36,0.56
1989,3,1989.208,1702.46,1.61,1701.34,0.55
1989,4,1989.292,1703.58,1.19,1702.35,0.55
1989,5,1989.375,1703.37,0.53,1703.35,0.55
1989,6,1989.458,1700.20,0.94,1704.33,0.55
1989,7,1989.542,1698.20,0.89,1705.29,0.55
1989,8,1989.625,1701.99,0.97,1706.24,0.56
1989,9,1989.708,1707.18,1.01,1707.14,0.57
1989,10,1989.792,1710.52,1.12,1708.02,0.59
1989,11,1989.875,1713.13,0.94,1708.86,0.61
1989,12,1989.958,1713.24,0.97,1709.66,0.63
1990,1,1990.042,1712.20,1.16,1710.45,0.66
1990,2,1990.125,1713.61,1.29,1711.16,0.69
1990,3,1990.208,1714.44,1.19,1711.84,0.72
1990,4,1990.292,1712.55,1.15,1712.53,0.74
1990,5,1990.375,1710.66,1.07,1713.19,0.76
1990,6,1990.458,1708.49,0.84,1713.84,0.78
1990,7,1990.542,1706.57,0.76,1714.50,0.79
1990,8,1990.625,1710.23,1.48,1715.17,0.79
1990,9,1990.708,1717.60,1.56,1715.86,0.79
1990,10,1990.792,1722.03,1.18,1716.59,0.79
1990,11,1990.875,1723.48,0.94,1717.37,0.78
1990,12,1990.958,1723.29,1.05,1718.22,0.77
1991,1,1991.042,1721.57,1.20,1719.15,0.76
1991,2,1991.125,1721.25,1.24,1720.12,0.75
1991,3,1991.208,1722.06,1.02,1721.16,0.74
1991,4,1991.292,1722.38,1.09,1722.32,0.72
1991,5,1991.375,1722.08,1.01,1723.54,0.71
1991,6,1991.458,1718.87,1.10,1724.81,0.70
1991,7,1991.542,1715.96,0.95,1726.11,0.69
1991,8,1991.625,1719.13,1.10,1727.45,0.68
1991,9,1991.708,1726.05,1.65,1728.74,0.67
1991,10,1991.792,1732.71,0.98,1729.98,0.66
1991,11,1991.875,1737.48,0.93,1731.14,0.65
1991,12,1991.958,1739.58,1.04,1732.20,0.64
1992,1,1992.042,1738.92,1.18,1733.14,0.63
1992,2,1992.125,1737.38,1.28,1733.92,0.61
1992,3,1992.208,1736.91,0.96,1734.54,0.60
1992,4,1992.292,1736.64,0.56,1735.03,0.59
1992,5,1992.375,1734.98,0.78,1735.36,0.58
1992,6,1992.458,1731.57,1.12,1735.56,0.56
1992,7,1992.542,1728.81,1.12,1735.64,0.55
1992,8,1992.625,1730.33,0.96,1735.63,0.54
1992,9,1992.708,1734.60,0.72,1735.55,0.53
1992,10,1992.792,1737.67,0.89,1735.43,0.51
1992,11,1992.875,1739.24,1.20,1735.31,0.50
1992,12,1992.958,1738.55,1.03,1735.20,0.49
1993,1,1993.042,1735.79,0.88,1735.13,0.48
1993,2,1993.125,1734.44,1.03,1735.12,0.47
1993,3,1993.208,1735.51,0.99,1735.18,0.46
1993,4,1993.292,1736.66,0.86,1735.31,0.46
1993,5,1993.375,1734.99,0.78,1735.53,0.45
1993,6,1993.458,1730.86,0.88,1735.82,0.45
1993,7,1993.542,1728.06,0.98,1736.18,0.45
1993,8,1993.625,1731.23,0.86,1736.61,0.46
1993,9,1993.708,1738.50,0.86,1737.09,0.47
1993,10,1993.792,1743.40,0.88,1737.60,0.49
1993,11,1993.875,1745.25,0.71,1738.15,0.51
1993,12,1993.958,1744.30,0.93,1738.71,0.53
1994,1,1994.042,1741.42,0.95,1739.30,0.54
1994,2,1994.125,1740.89,1.01,1739.87,0.55
1994,3,1994.208,1741.95,0.85,1740.44,0.56
1994,4,1994.292,1741.94,0.67,1741.04,0.56
1994,5,1994.375,1740.65,0.99,1741.65,0.55
1994,6,1994.458,1736.90,1.27,1742.26,0.55
1994,7,1994.542,1732.42,1.11,1742.88,0.54
1994,8,1994.625,1734.11,1.01,1743.51,0.53
1994,9,1994.708,1742.94,0.76,1744.13,0.53
1994,10,1994.792,1749.83,0.75,1744.75,0.53
1994,11,1994.875,1751.27,0.95,1745.36,0.53
1994,12,1994.958,1751.59,1.00,1745.95,0.54
1995,1,1995.042,1751.11,1.14,1746.53,0.54
1995,2,1995.125,1749.51,1.08,1747.04,0.55
1995,3,1995.208,1748.99,0.70,1747.52,0.55
1995,4,1995.292,1749.42,0.75,1747.97,0.55
1995,5,1995.375,1747.65,1.01,1748.37,0.54
1995,6,1995.458,1742.83,0.99,1748.72,0.53
1995,7,1995.542,1740.16,0.88,1749.02,0.52
1995,8,1995.625,1743.59,1.09,1749.28,0.50
1995,9,1995.708,1749.77,1.11,1749.49,0.49
1995,10,1995.792,1754.34,0.90,1749.68,0.49
1995,11,1995.875,1755.52,0.97,1749.85,0.49
1995,12,1995.958,1753.85,1.02,1750.00,0.51
1996,1,1996.042,1752.22,1.03,1750.16,0.53
1996,2,1996.125,1752.74,1.08,1750.31,0.56
1996,3,1996.208,1752.21,0.92,1750.47,0.59
1996,4,1996.292,1749.58,1.06,1750.65,0.62
1996,5,1996.375,1748.29,1.12,1750.84,0.64
1996,6,1996.458,1746.02,0.94,1751.05,0.66
1996,7,1996.542,1742.03,0.94,1751.27,0.67
1996,8,1996.625,1744.26,1.17,1751.50,0.67
1996,9,1996.708,1752.58,1.23,1751.73,0.66
1996,10,1996.792,1758.85,0.92,1751.96,0.64
1996,11,1996.875,1760.05,0.85,1752.19,0.61
1996,12,1996.958,1756.89,0.77,1752.42,0.58
1997,1,1997.042,1753.31,0.95,1752.65,0.53
1997,2,1997.125,1753.82,1.14,1752.89,0.48
1997,3,1997.208,1755.64,0.87,1753.15,0.44
1997,4,1997.292,1755.50,0.95,1753.44,0.40
1997,5,1997.375,1753.82,0.71,1753.78,0.36
1997,6,1997.458,1750.13,0.87,1754.18,0.34
1997,7,1997.542,1746.09,0.93,1754.65,0.33
1997,8,1997.625,1747.74,0.89,1755.21,0.34
1997,9,1997.708,1754.89,0.87,1755.86,0.36
1997,10,1997.792,1760.22,0.74,1756.60,0.39
1997,11,1997.875,1761.70,0.93,1757.45,0.42
1997,12,1997.958,1761.88,0.79,1758.38,0.45
1998,1,1998.042,1761.43,0.87,1759.43,0.48
1998,2,1998.125,1761.44,1.36,1760.48,0.50
1998,3,1998.208,1762.94,1.47,1761.59,0.52
1998,4,1998.292,1764.70,0.95,1762.77,0.54
1998,5,1998.375,1764.25,0.75,1763.95,0.55
1998,6,1998.458,1760.33,0.70,1765.12,0.56
1998,7,1998.542,1756.15,1.00,1766.25,0.57
1998,8,1998.625,1760.20,0.99,1767.34,0.59
1998,9,1998.708,1770.66,1.42,1768.34,0.60
1998,10,1998.792,1776.23,1.39,1769.23,0.61
1998,11,1998.875,1775.49,0.96,1770.03,0.62
1998,12,1998.958,1774.04,0.76,1770.72,0.62
1999,1,1999.042,1773.79,0.98,1771.31,0.62
1999,2,1999.125,1773.90,1.38,1771.78,0.62
1999,3,1999.208,1774.59,1.11,1772.15,0.61
1999,4,1999.292,1774.97,0.75,1772.46,0.60
1999,5,1999.375,1772.67,0.84,1772.70,0.58
1999,6,1999.458,1767.35,0.79,1772.88,0.57
1999,7,1999.542,1762.96,0.82,1773.01,0.56
1999,8,1999.625,1764.65,0.84,1773.11,0.56
1999,9,1999.708,1771.02,0.83,1773.18,0.57
1999,10,1999.792,1776.62,0.88,1773.24,0.58
1999,11,1999.875,1778.59,0.79,1773.28,0.60
1999,12,1999.958,1777.26,0.77,1773.30,0.62
2000,1,2000.042,1775.52,1.12,1773.32,0.65
2000,2,2000.125,1775.45,1.49,1773.31,0.67
2000,3,2000.208,1776.50,1.46,1773.29,0.68
2000,4,2000.292,1777.21,1.24,1773.25,0.69
2000,5,2000.375,1774.57,1.16,1773.18,0.70
2000,6,2000.458,1768.13,1.11,1773.08,0.70
2000,7,2000.542,1763.47,0.89,1772.96,0.69
2000,8,2000.625,1765.46,1.07,1772.81,0.69
2000,9,2000.708,1772.04,1.10,1772.64,0.68
2000,10,2000.792,1777.09,0.86,1772.46,0.66
2000,11,2000.875,1777.73,0.94,1772.26,0.65
2000,12,2000.958,1775.31,1.22,1772.06,0.64
2001,1,2001.042,1772.86,0.93,1771.87,0.62
2001,2,2001.125,1772.52,0.84,1771.69,0.60
2001,3,2001.208,1773.66,0.94,1771.53,0.59
2001,4,2001.292,1773.87,0.67,1771.38,0.57
2001,5,2001.375,1770.88,0.65,1771.27,0.55
2001,6,2001.458,1766.10,0.87,1771.18,0.53
2001,7,2001.542,1763.02,0.98,1771.12,0.52
2001,8,2001.625,1764.51,0.94,1771.10,0.50
2001,9,2001.708,1770.44,0.93,1771.10,0.48
2001,10,2001.792,1775.48,0.82,1771.13,0.46
2001,11,2001.875,1776.58,0.69,1771.18,0.45
2001,12,2001.958,1775.92,1.08,1771.25,0.44
2002,1,2002.042,1774.08,1.37,1771.34,0.43
2002,2,2002.125,1772.82,1.05,1771.44,0.43
2002,3,2002.208,1773.41,0.56,1771.57,0.43
2002,4,2002.292,1772.75,0.75,1771.72,0.45
2002,5,2002.375,1770.31,0.74,1771.89,0.47
2002,6,2002.458,1766.90,0.85,1772.10,0.49
2002,7,2002.542,1764.22,0.95,1772.34,0.51
2002,8,2002.625,1766.86,0.99,1772.63,0.53
2002,9,2002.708,1773.66,1.01,1772.95,0.55
2002,10,2002.792,1778.25,1.45,1773.32,0.56
2002,11,2002.875,1779.51,1.17,1773.75,0.56
2002,12,2002.958,1779.65,0.67,1774.22,0.55
2003,1,2003.042,1777.52,1.11,1774.74,0.54
2003,2,2003.125,1774.83,1.06,1775.26,0.53
2003,3,2003.208,1774.85,0.85,1775.82,0.52
2003,4,2003.292,1775.80,1.54,1776.40,0.51
2003,5,2003.375,1774.45,1.23,1776.97,0.51
2003,6,2003.458,1771.69,1.23,1777.52,0.52
2003,7,2003.542,1770.71,1.83,1778.03,0.53
2003,8,2003.625,1774.30,1.73,1778.48,0.55
2003,9,2003.708,1780.55,1.26,1778.85,0.57
2003,10,2003.792,1784.69,1.00,1779.11,0.59
2003,11,2003.875,1785.29,1.05,1779.27,0.60
2003,12,2003.958,1783.56,1.11,1779.32,0.61
2004,1,2004.042,1780.90,1.14,1779.25,0.61
2004,2,2004.125,1779.97,0.96,1779.07,0.61
2004,3,2004.208,1780.98,0.95,1778.78,0.60
2004,4,2004.292,1780.71,0.83,1778.41,0.59
2004,5,2004.375,1777.58,0.97,1777.96,0.58
2004,6,2004.458,1772.29,1.09,1777.45,0.58
2004,7,2004.542,1768.04,0.82,1776.92,0.57
2004,8,2004.625,1769.79,0.97,1776.38,0.57
2004,9,2004.708,1775.50,1.08,1775.87,0.57
2004,10,2004.792,1779.69,1.03,1775.40,0.57
2004,11,2004.875,1780.50,1.05,1774.99,0.57
2004,12,2004.958,1778.33,0.92,1774.66,0.57
2005,1,2005.042,1776.15,1.17,1774.41,0.56
2005,2,2005.125,1775.74,1.03,1774.25,0.55
2005,3,2005.208,1775.59,0.90,1774.16,0.55
2005,4,2005.292,1774.79,0.80,1774.15,0.54
2005,5,2005.375,1772.51,0.72,1774.19,0.54
2005,6,2005.458,1768.80,0.98,1774.28,0.54
2005,7,2005.542,1766.40,0.83,1774.40,0.55
2005,8,2005.625,1768.17,0.89,1774.53,0.55
2005,9,2005.708,1773.24,1.21,1774.65,0.55
2005,10,2005.792,1778.58,1.43,1774.74,0.55
2005,11,2005.875,1781.26,0.75,1774.81,0.54
2005,12,2005.958,1780.26,1.25,1774.84,0.53
2006,1,2006.042,1779.51,0.94,1774.84,0.51
2006,2,2006.125,1779.47,0.78,1774.81,0.49
2006,3,2006.208,1777.40,0.81,1774.77,0.48
2006,4,2006.292,1776.11,0.64,1774.73,0.47
2006,5,2006.375,1774.91,0.93,1774.71,0.46
2006,6,2006.458,1769.23,1.34,1774.72,0.47
2006,7,2006.542,1764.16,1.26,1774.79,0.48
2006,8,2006.625,1767.24,1.20,1774.94,0.49
2006,9,2006.708,1774.58,1.38,1775.17,0.51
2006,10,2006.792,1778.24,0.88,1775.49,0.53
2006,11,2006.875,1779.05,0.78,1775.90,0.55
2006,12,2006.958,1779.92,0.82,1776.40,0.57
2007,1,2007.042,1779.20,1.07,1776.99,0.58
2007,2,2007.125,1778.60,1.16,1777.61,0.59
2007,3,2007.208,1780.25,1.01,1778.29,0.59
2007,4,2007.292,1781.12,1.13,1779.01,0.59
2007,5,2007.375,1779.49,1.48,1779.75,0.59
2007,6,2007.458,1775.61,1.24,1780.49,0.59
2007,7,2007.542,1772.58,1.11,1781.21,0.58
2007,8,2007.625,1777.20,1.43,1781.91,0.58
2007,9,2007.708,1785.87,1.41,1782.56,0.58
2007,10,2007.792,1789.85,1.07,1783.17,0.58
2007,11,2007.875,1789.55,0.91,1783.74,0.59
2007,12,2007.958,1788.19,0.98,1784.28,0.59
2008,1,2008.042,1786.69,0.93,1784.81,0.60
2008,2,2008.125,1785.81,1.04,1785.30,0.60
2008,3,2008.208,1786.17,1.36,1785.79,0.60
2008,4,2008.292,1786.88,1.24,1786.29,0.60
2008,5,2008.375,1785.20,0.97,1786.80,0.59
2008,6,2008.458,1780.47,0.87,1787.33,0.57
2008,7,2008.542,1777.64,0.97,1787.88,0.55
2008,8,2008.625,1781.06,0.96,1788.46,0.53
