"------------------------------------------------------------------------------------------"
"  Daily average atmospheric gas concentrations derived from flask air samples"
"  For Mauna Loa Observatory, Hawaii: Latitude 19.5N Longitude 155.6W Elevation 3397m"
" Source: R. F. Keeling and S. J. Walker                                                  "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
" Scripps Institution of Oceanography (SIO)                                               "
" University of California                                                                "
" La Jolla, California USA 92093-0244                                                     "
"                                                                                          "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data in this file from archive dated 2024-04-19 10:43:25                            "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                         "
" Isotopic data are reported on the Scripps Isotope scale"
" See:"
" T. Lueker, R. Keeling, A. Bollenbacher, S. Walker, E. Morgan,"
" M. Brooks, Calibration Methodology for the Scripps 13C/12C and 18O/16O"
" stable Isotope program 1992-2018, 2020"
"                                                                                         "
" CO2 concentrations are reported on the Scripps '12' Calibration scale""
""
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute"
"                                             MSExcel spreadsheet date format"
"                                             Decimal year and fractional year"
" N   - Number of flasks used in daily average"
""
"                                                                                           "
" FGC -   CO2 Flags                                                                         "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer                                             "
"  -1 - Accepted flask value retained although individual measurements deviated             "
"       by more than selected tolerance                                                     "
"   0 - Accepted flask value                                                                "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance of 0.40 or is a single flask "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"   9 - Rejected legacy data                                                                "
"                                                                                           "
"FGM, FGO, Methane and Carbon monoxide flag values                                          "
"  -3 - Suspect but accepted value                                                          "
"   0 - Accepted value                                                                      "
"   3 - Rejected                                                                            "
"   5 - Outlier from fit                                                                    "
"   9 - Flask not analyzed                                                                  "
"                                                                                           "
"FG3, FG8, FG4 : Isotope 13C, 18O and 14C measurement flag value                            "
"  -3 - Suspect but accepted isotopic measurement                                           "
"  -1 - Accepted isotopic measurement, sample was refrozen                                  "
"   0 - Accepted isotopic measurement                                                       "
"   3 - Rejected                                                                            "
"   5 - Outlier from fit                                                                    "
"   6 - Other rejected, legacy data                                                         "
"   8 - Flask extracted but not analyzed yet                                                "
"   9 - Flask not extracted                                                                 "
"                                                                                           "
"                                                                                           "
" Averages for CO2 CH4 CO 13C 18O have been filtered by deviation from curve fit.           "
"                                                                                           "
""
" CO2     - CO2 value ppm"
" CH4     - CH4 value ppb"
" CO      - CO  value ppb"
" 13C-CO2 - 13C-CO2 value per-mil"
" 18O-CO2 - 18O-CO2 value per-mil"
""
"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
1960-03-30, 12:00, 22005.50, 1960.245,  2,  0,  318.27,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-03-31, 16:00, 22006.67, 1960.248,  2,  0,  318.29,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-04-23, 10:30, 22029.44, 1960.310,  3,  4,  318.61,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-04-24, 08:00, 22030.33, 1960.312,  3,  0,  319.33,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-07-03, 15:20, 22100.64, 1960.504,  2,  4,  320.35,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-07-17, 17:00, 22114.71, 1960.543,  2,  4,  315.95,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-08-01, 15:05, 22129.63, 1960.584,  2,  4,  319.37,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-08-18, 10:00, 22146.42, 1960.630,  2,  0,  315.56,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-10-06, 14:48, 22195.62, 1960.764,  2,  0,  312.62,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-11-04, 13:45, 22224.57, 1960.843,  2,  4,  350.39,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-11-25, 13:10, 22245.55, 1960.900,  1,  4,  392.23,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-12-01, 10:50, 22251.45, 1960.917,  2,  0,  316.29,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1960-12-20, 15:45, 22270.66, 1960.969,  2,  4,  318.19,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-01-04, 12:50, 22285.53, 1961.010,  2,  0,  316.74,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-01-17, 14:00, 22298.58, 1961.045,  2,  0,  317.85,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-02-02, 13:50, 22314.58, 1961.089,  2,  4,  317.62,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-02-17, 11:15, 22329.47, 1961.130,  2,  4,  318.54,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-03-01, 15:23, 22341.64, 1961.163,  2,  0,  317.69,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-03-15, 15:20, 22355.64, 1961.202,  1,  4,  317.58,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-04-04, 11:10, 22375.47, 1961.256,  2,  4,  320.72,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-04-15, 10:10, 22386.42, 1961.286,  2,  4,  320.90,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-05-15, 14:47, 22416.62, 1961.369,  2,  4,  332.09,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-06-01, 14:20, 22433.60, 1961.415,  2,  0,  318.75,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-06-15, 13:53, 22447.58, 1961.454,  2,  0,  319.36,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-07-01, 14:02, 22463.58, 1961.497,  2,  0,  319.50,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-07-15, 12:48, 22477.53, 1961.536,  2,  0,  319.18,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
